case,activity,time
333,f_1,05/01/2015 05.14.48
334,b_1,05/01/2015 05.15.12
334,e_1,05/01/2015 05.15.14
334,d_1,05/01/2015 05.15.37
334,g_1,05/01/2015 05.17.13
335,a_1,05/01/2015 05.16.10
335,d_1,05/01/2015 05.16.25
335,c_1,05/01/2015 05.16.59
335,f_1,05/01/2015 05.17.58
336,a_1,05/01/2015 05.14.04
336,c_1,05/01/2015 05.14.08
336,d_1,05/01/2015 05.15.05
336,f_1,05/01/2015 05.16.29
337,a_1,05/01/2015 05.15.02
337,d_1,05/01/2015 05.15.29
337,c_1,05/01/2015 05.15.43
337,f_1,05/01/2015 05.17.48
338,b_1,05/01/2015 05.14.52
338,d_1,05/01/2015 05.15.01
338,e_1,05/01/2015 05.15.11
338,g_1,05/01/2015 05.16.11
339,a_1,05/01/2015 05.15.11
339,d_1,05/01/2015 05.16.01
339,c_1,05/01/2015 05.16.13
339,f_1,05/01/2015 05.16.39
340,a_1,05/01/2015 05.17.46
340,d_1,05/01/2015 05.17.54
340,c_1,05/01/2015 05.19.12
340,f_1,05/01/2015 05.19.51
341,b_1,05/01/2015 05.22.11
341,e_1,05/01/2015 05.24.03
341,d_1,05/01/2015 05.24.52
341,g_1,05/01/2015 05.26.04
342,a_1,05/01/2015 05.18.31
342,d_1,05/01/2015 05.18.45
342,c_1,05/01/2015 05.20.35
342,x_1,05/01/2015 05.20.35
342,f_1,05/01/2015 05.20.59
343,a_1,05/01/2015 05.19.19
343,d_1,05/01/2015 05.19.29
343,c_1,05/01/2015 05.19.33
343,f_1,05/01/2015 05.21.26
344,b_1,05/01/2015 05.20.37
344,e_1,05/01/2015 05.20.56
344,d_1,05/01/2015 05.24.47
344,g_1,05/01/2015 05.25.56
345,a_1,05/01/2015 05.21.55
345,c_1,05/01/2015 05.21.58
345,d_1,05/01/2015 05.22.04
345,f_1,05/01/2015 05.25.52
346,a_1,05/01/2015 05.22.04
346,c_1,05/01/2015 05.22.08
346,d_1,05/01/2015 05.22.17
346,f_1,05/01/2015 05.24.09
347,a_1,05/01/2015 05.24.28
347,c_1,05/01/2015 05.25.51
347,d_1,05/01/2015 05.26.15
347,f_1,05/01/2015 05.27.34
348,b_1,05/01/2015 05.24.48
348,d_1,05/01/2015 05.25.10
348,e_1,05/01/2015 05.27.42
348,g_1,05/01/2015 05.27.59
349,a_1,05/01/2015 05.26.16
349,c_1,05/01/2015 05.26.32
349,d_1,05/01/2015 05.27.01
349,f_1,05/01/2015 05.27.22
350,b_1,05/01/2015 05.26.50
350,e_1,05/01/2015 05.28.11
350,d_1,05/01/2015 05.28.26
350,g_1,05/01/2015 05.29.05
351,a_1,05/01/2015 05.30.02
351,c_1,05/01/2015 05.30.50
351,d_1,05/01/2015 05.32.45
351,f_1,05/01/2015 05.32.46
352,b_1,05/01/2015 05.27.25
352,e_1,05/01/2015 05.27.26
352,d_1,05/01/2015 05.28.48
352,g_1,05/01/2015 05.29.22
353,b_1,05/01/2015 05.27.50
353,e_1,05/01/2015 05.28.14
353,d_1,05/01/2015 05.28.46
353,g_1,05/01/2015 05.31.57
354,a_1,05/01/2015 05.29.31
354,d_1,05/01/2015 05.29.42
354,c_1,05/01/2015 05.29.46
354,f_1,05/01/2015 05.30.23
355,a_1,05/01/2015 05.28.10
355,d_1,05/01/2015 05.28.31
355,c_1,05/01/2015 05.29.09
355,f_1,05/01/2015 05.29.15
356,b_1,05/01/2015 05.28.06
356,e_1,05/01/2015 05.28.22
356,d_1,05/01/2015 05.29.13
356,g_1,05/01/2015 05.29.49
357,b_1,05/01/2015 05.27.57
357,e_1,05/01/2015 05.29.02
357,d_1,05/01/2015 05.32.03
357,g_1,05/01/2015 05.33.59
358,a_1,05/01/2015 05.29.05
358,c_1,05/01/2015 05.29.50
358,d_1,05/01/2015 05.30.23
358,f_1,05/01/2015 05.30.52
359,a_1,05/01/2015 05.29.43
359,c_1,05/01/2015 05.30.02
359,d_1,05/01/2015 05.31.12
359,f_1,05/01/2015 05.34.41
360,a_1,05/01/2015 05.29.30
360,d_1,05/01/2015 05.29.51
360,c_1,05/01/2015 05.31.01
360,x_1,05/01/2015 05.31.01
360,f_1,05/01/2015 05.31.23
361,a_1,05/01/2015 05.31.25
361,c_1,05/01/2015 05.31.29
361,d_1,05/01/2015 05.31.29
361,f_1,05/01/2015 05.32.17
362,b_1,05/01/2015 05.34.58
362,d_1,05/01/2015 05.35.06
362,e_1,05/01/2015 05.35.14
362,g_1,05/01/2015 05.36.04
363,b_1,05/01/2015 05.33.19
363,e_1,05/01/2015 05.33.22
363,d_1,05/01/2015 05.35.46
363,g_1,05/01/2015 05.37.35
364,b_1,05/01/2015 05.32.32
364,d_1,05/01/2015 05.34.09
364,e_1,05/01/2015 05.35.13
364,g_1,05/01/2015 05.36.32
365,a_1,05/01/2015 05.33.43
365,d_1,05/01/2015 05.33.52
365,c_1,05/01/2015 05.35.27
365,x_1,05/01/2015 05.35.27
365,f_1,05/01/2015 05.37.06
366,b_1,05/01/2015 05.33.53
366,e_1,05/01/2015 05.34.34
366,d_1,05/01/2015 05.34.43
366,g_1,05/01/2015 05.36.20
367,a_1,05/01/2015 05.40.06
367,c_1,05/01/2015 05.41.00
367,d_1,05/01/2015 05.43.09
367,f_1,05/01/2015 05.45.57
