case;activity;time
970;a_1;05/01/2015 15.55.37
970;x_1;05/01/2015 15.55.37
970;c_1;05/01/2015 15.55.37
970;d_1;05/01/2015 15.56.42
970;f_1;05/01/2015 15.57.25
971;a_1;05/01/2015 15.58.31
971;c_1;05/01/2015 15.59.34
971;d_1;05/01/2015 16.01.09
971;f_1;05/01/2015 16.02.11
972;b_1;05/01/2015 15.58.24
972;e_1;05/01/2015 15.58.34
972;d_1;05/01/2015 15.59.22
972;g_1;05/01/2015 15.59.53
973;b_1;05/01/2015 15.57.41
973;d_1;05/01/2015 15.57.52
973;e_1;05/01/2015 15.57.59
973;g_1;05/01/2015 15.58.04
974;a_1;05/01/2015 15.58.25
974;d_1;05/01/2015 15.58.26
974;c_1;05/01/2015 15.59.23
974;f_1;05/01/2015 16.00.14
975;b_1;05/01/2015 15.59.56
975;d_1;05/01/2015 16.00.21
975;e_1;05/01/2015 16.01.27
975;g_1;05/01/2015 16.02.15
976;b_1;05/01/2015 15.59.26
976;d_1;05/01/2015 15.59.29
976;e_1;05/01/2015 16.01.02
976;g_1;05/01/2015 16.02.05
977;b_1;05/01/2015 16.05.25
977;e_1;05/01/2015 16.05.33
977;d_1;05/01/2015 16.06.58
977;g_1;05/01/2015 16.07.36
978;b_1;05/01/2015 16.05.36
978;d_1;05/01/2015 16.05.47
978;e_1;05/01/2015 16.05.59
978;g_1;05/01/2015 16.07.41
979;a_1;05/01/2015 16.03.20
979;c_1;05/01/2015 16.03.22
979;d_1;05/01/2015 16.03.55
979;f_1;05/01/2015 16.04.04
980;b_1;05/01/2015 16.04.12
980;e_1;05/01/2015 16.04.51
980;d_1;05/01/2015 16.08.31
980;g_1;05/01/2015 16.09.15
981;b_1;05/01/2015 16.07.16
981;e_1;05/01/2015 16.07.24
981;d_1;05/01/2015 16.07.40
981;g_1;05/01/2015 16.11.28
982;b_1;05/01/2015 16.08.16
982;e_1;05/01/2015 16.08.50
982;d_1;05/01/2015 16.09.14
982;g_1;05/01/2015 16.09.35
983;a_1;05/01/2015 16.08.59
983;c_1;05/01/2015 16.09.07
983;d_1;05/01/2015 16.10.39
983;f_1;05/01/2015 16.10.49
984;b_1;05/01/2015 16.11.53
984;d_1;05/01/2015 16.12.04
984;e_1;05/01/2015 16.12.51
984;g_1;05/01/2015 16.12.58
985;b_1;05/01/2015 16.11.09
985;e_1;05/01/2015 16.13.09
985;d_1;05/01/2015 16.13.32
985;g_1;05/01/2015 16.14.01
986;b_1;05/01/2015 16.11.13
986;e_1;05/01/2015 16.11.17
986;x_1;05/01/2015 16.13.09
986;d_1;05/01/2015 16.14.20
986;g_1;05/01/2015 16.14.45
987;b_1;05/01/2015 16.15.56
987;e_1;05/01/2015 16.16.06
987;d_1;05/01/2015 16.16.33
987;g_1;05/01/2015 16.16.39
988;b_1;05/01/2015 16.13.55
988;e_1;05/01/2015 16.14.23
988;d_1;05/01/2015 16.15.13
988;g_1;05/01/2015 16.15.56
989;b_1;05/01/2015 16.15.33
989;e_1;05/01/2015 16.16.43
989;d_1;05/01/2015 16.20.02
989;g_1;05/01/2015 16.20.36
990;a_1;05/01/2015 16.17.36
990;d_1;05/01/2015 16.18.07
990;c_1;05/01/2015 16.21.49
990;f_1;05/01/2015 16.24.59
991;a_1;05/01/2015 16.16.54
991;c_1;05/01/2015 16.17.00
991;d_1;05/01/2015 16.17.38
991;f_1;05/01/2015 16.21.36
